,symbol,avgvol,avgvwap,avgdelvol,avgpctdel
36,AHLEAST,5441.4157894736845,283.50047368421053,2967.4684210526316,0.6508384210526312
37,AHLUCONT,39957.41224489796,352.8054693877551,29341.583673469388,0.6975946938775514
38,AHLWEST,4887.022388059701,241.51641791044779,3088.9850746268658,0.7390679104477614
39,AIAENG,40681.9306122449,1478.0692244897957,30744.571428571428,0.7071142857142859
40,AIFL,140870.6163265306,469.1393877551022,55564.08571428571,0.41755387755102075
41,AJANTPHARM,309884.67346938775,1250.3102448979578,71194.57551020409,0.2608906122448979
42,AJMERA,201323.48979591837,259.6416734693878,76873.63265306123,0.449718775510204
43,AKSHARCHEM,12182.628571428571,658.220081632654,7723.8,0.6388661224489794
44,AKSHOPTFBR,1684084.1720430108,31.035806451612903,777196.4354838709,0.5174145161290322
45,AKZOINDIA,11874.367346938776,1848.4848571428572,8098.783673469387,0.6530808163265308
46,ALANKIT,821789.7613168724,41.84946502057617,251583.30452674898,0.442614814814815
47,ALBERTDAVD,10723.864406779661,356.56531073446337,6040.61581920904,0.6960830508474576
48,ALBK,4117597.048979592,58.793632653061195,526883.9551020408,0.1360302040816327
49,ALEMBICLTD,1092871.044897959,48.53746938775513,446044.9265306122,0.4919408163265306
50,ALICON,5366.877551020408,603.3166530612244,3229.5959183673467,0.7036028571428575
51,ALKALI,40512.94607843137,75.9738235294117,16016.676470588236,0.5926480392156863
52,ALKEM,37463.126530612244,1998.8653469387768,22371.326530612245,0.5974848979591836
53,ALKYLAMINE,15257.285714285714,608.7368163265307,8641.269387755103,0.7179730612244895
54,ALLCARGO,436539.6040816326,158.40514285714283,218523.35918367346,0.5480677551020412
55,ALLSEC,19407.575510204082,368.7397959183674,11487.534693877551,0.662956734693878
56,ALMONDZ,45125.98611111111,26.63930555555557,23658.208333333332,0.7049354166666668
57,ALPA,55510.753086419754,34.566625514403285,29847.312757201646,0.6763502057613165
58,ALPHAGEO,36643.74285714285,795.1485306122454,15069.481632653062,0.5216800000000001
59,AMARAJABAT,559384.506122449,791.1500816326529,208392.52244897958,0.3601853061224489
60,AMBER,167683.61194029852,1076.960447761194,49009.65671641791,0.5305082089552241
61,AMBIKCO,4121.934693877551,1338.5022448979587,2555.955102040816,0.7022269387755099
62,AMBUJACEM,2560494.6040816326,248.3324897959183,1237052.4204081632,0.4594232653061224
63,AMDIND,117379.65420560748,35.145,42690.04672897196,0.6180630841121493
64,AMJLAND,74498.8,26.25307142857144,34232.90714285714,0.6628199999999997
65,AMRUTANJAN,12656.848979591838,486.2983265306126,8180.216326530613,0.7184853061224487
66,ANANTRAJ,1537022.1102040815,53.71787755102037,580573.4693877551,0.40086816326530617
67,ANDHRABANK,5239080.857142857,47.856653061224506,891037.3795918367,0.19839591836734696
68,ANDHRSUGAR,74313.95510204081,459.4531836734696,37144.54285714286,0.5662404081632652
69,ANIKINDS,36858.141304347824,46.09961956521741,21849.972826086956,0.7361157608695651
70,ANSALAPI,192525.8,21.744489795918355,129983.54693877551,0.6900591836734696
71,ANSALHSG,99980.3387755102,21.152081632653058,47074.0,0.5811359183673473
72,APARINDS,19913.45306122449,750.9609387755102,14101.4,0.672083673469388
73,APCL,6976.187755102041,210.07518367346944,3890.8367346938776,0.638146122448979
74,APCOTEXIND,11896.220408163264,498.3695918367348,6933.351020408163,0.6602538775510207
75,APEX,282093.16814159293,584.0723451327439,100914.79203539823,0.40232168141592933
76,APLAPOLLO,32360.567346938777,1916.1372653061214,23859.836734693876,0.680908571428571
77,APLLTD,86359.57959183674,519.805224489796,50636.01632653061,0.6267204081632654
78,APOLLO,67292.19379844962,219.47565891472863,28565.124031007752,0.5033751937984496
79,APOLLOHOSP,451965.1142857143,1075.4641632653058,212237.9632653061,0.439546530612245
80,APOLLOTYRE,2912598.6040816326,264.4132653061224,977162.0,0.3273195918367346
81,APOLSINHOT,1441.722448979592,1214.8079183673474,981.8530612244898,0.7483077551020402
82,APTECHT,782469.7306122449,297.54685714285716,167217.81224489797,0.25728979591836726
83,ARCHIDPLY,101745.55510204082,88.68820408163273,47728.13469387755,0.5739791836734696
