Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,64.699997,65.250000,63.700001,63.950001,61.342224,162826
2016-08-02,64.000000,64.500000,63.049999,63.450001,60.862614,142241
2016-08-03,63.000000,63.099998,61.700001,61.799999,59.279900,230195
2016-08-04,62.000000,62.900002,61.700001,61.900002,59.375824,690781
2016-08-05,62.700001,64.949997,62.299999,64.449997,61.821838,466349
2016-08-08,65.000000,65.699997,64.599998,65.150002,62.493294,295287
2016-08-09,65.449997,66.000000,64.800003,65.449997,62.781059,293882
2016-08-10,65.599998,66.949997,64.550003,65.949997,63.260666,802221
2016-08-11,65.099998,66.400002,65.050003,65.849998,63.164749,167374
2016-08-12,65.949997,66.349998,65.400002,65.800003,63.116791,169716
2016-08-16,65.349998,65.949997,64.949997,65.550003,62.876984,129912
2016-08-17,65.900002,66.250000,65.300003,65.800003,63.116791,139848
2016-08-18,65.349998,66.000000,65.000000,65.800003,63.116791,144010
2016-08-19,65.400002,67.199997,65.300003,66.699997,63.980087,437205
2016-08-22,66.900002,68.300003,66.300003,67.949997,65.179108,801193
2016-08-23,68.449997,69.449997,67.500000,68.050003,65.275040,450474
2016-08-24,68.000000,69.699997,67.949997,69.199997,66.378136,559142
2016-08-25,69.250000,69.699997,67.949997,68.150002,65.370956,324658
2016-08-26,67.900002,68.250000,67.099998,67.349998,64.603577,203458
2016-08-29,67.349998,68.400002,67.150002,67.699997,64.939308,226510
2016-08-30,68.199997,68.449997,67.699997,68.050003,65.275040,342556
2016-08-31,67.500000,68.500000,67.500000,67.949997,65.179108,401978
2016-09-01,65.900002,65.900002,64.400002,64.650002,63.797573,312016
2016-09-02,64.500000,65.000000,64.349998,64.800003,63.945599,133005
2016-09-06,65.900002,65.900002,64.150002,64.300003,63.452190,236831
2016-09-07,64.199997,64.949997,64.199997,64.400002,63.550869,169744
2016-09-08,64.500000,65.050003,64.099998,64.750000,63.896255,293675
2016-09-09,64.800003,65.050003,64.150002,64.349998,63.501526,316351
2016-09-12,63.700001,63.799999,61.599998,61.900002,61.083836,262961
2016-09-14,62.349998,62.450001,61.400002,61.750000,60.935810,368724
2016-09-15,62.000000,62.799999,61.700001,61.750000,60.935810,135771
2016-09-16,61.900002,62.400002,60.000000,60.700001,59.899654,436122
2016-09-19,61.099998,61.349998,60.700001,60.900002,60.097019,484353
2016-09-20,60.900002,61.250000,59.299999,59.950001,59.159546,315642
2016-09-21,59.900002,60.849998,59.599998,59.799999,59.011520,337745
2016-09-22,60.400002,60.950001,59.250000,60.000000,59.208885,635499
2016-09-23,60.299999,60.799999,59.200001,59.950001,59.159546,781199
2016-09-26,59.799999,60.150002,58.900002,59.049999,58.271408,186907
2016-09-27,59.049999,60.099998,59.000000,59.200001,58.419434,174523
2016-09-28,59.250000,60.049999,59.000000,59.500000,58.715477,253359
2016-09-29,59.500000,60.650002,57.200001,58.049999,57.284595,939160
2016-09-30,57.200001,58.900002,57.200001,58.250000,57.481960,271670
2016-10-03,58.400002,61.000000,58.200001,60.049999,59.258224,1652514
2016-10-04,60.849998,60.849998,59.299999,59.500000,58.715477,1031062
2016-10-05,59.799999,60.700001,59.650002,59.799999,59.011520,588313
2016-10-06,60.000000,60.200001,59.049999,59.200001,58.419434,390217
2016-10-07,59.500000,60.049999,59.299999,59.549999,58.764816,407911
2016-10-10,59.849998,59.900002,58.250000,58.599998,57.827343,440680
